City,Total population,Median age,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Pacific Islander,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Mexicans,Puerto Rican,Cuban,Hispanic or Latino,In households
Apache Junction city,"35,840",47.5,7,19,145,28,22,33,25,26,"32,844",654,678,441,101,"4,410",130,17,"5,153","35,557"
Avondale city,"76,238",28.6,327,268,864,93,180,589,363,274,"47,017","8,272","1,910","3,550",574,"34,041",614,90,"38,340","76,078"
Benson city,"5,105",52.5,0,0,14,3,9,2,9,8,"4,648",77,116,80,15,"1,010",24,4,"1,126","5,031"
Bisbee city,"5,575",48.8,7,4,9,4,1,1,0,8,"4,893",110,143,55,10,"1,868",33,8,"2,019","5,333"
Buckeye town,"50,876",30.7,75,58,341,34,100,116,189,100,"35,259","4,272","1,321","1,346",202,"17,133",452,79,"19,489","45,782"
Bullhead City city,"39,540",48.2,35,63,211,69,41,28,109,59,"33,431",725,797,798,154,"8,203",161,43,"9,386","39,374"
Camp Verde town,"10,873",44,4,18,12,2,3,0,7,13,"9,270",112,"1,059",93,47,"1,445",21,9,"1,779","10,175"
Carefree town,"3,363",60.2,3,21,5,13,5,4,5,0,"3,254",28,26,72,1,58,7,6,98,"3,316"
Casa Grande city,"48,571",36,102,74,426,27,48,117,81,87,"34,659","2,858","3,077","1,215",198,"16,939",280,60,"18,932","48,289"
Cave Creek town,"5,015",51.2,5,9,6,5,3,6,7,4,"4,751",52,47,58,5,317,13,6,408,"5,015"
Chandler city,"236,123",34.1,"5,592","4,207","2,579",574,"1,757","2,610","2,082",405,"180,690","13,924","5,339","22,619","1,020","42,911","1,543",371,"51,808","235,577"
Chino Valley town,"10,817",44.8,1,14,16,9,2,4,8,4,"9,859",85,218,102,16,"1,370",32,7,"1,626","10,802"
Clarkdale town,"4,097",50.1,2,1,4,3,2,1,6,8,"3,612",60,302,44,11,466,12,3,549,"4,097"
Clifton town,"3,311",30,2,2,10,1,0,0,8,3,"2,496",44,153,38,3,"1,818",1,1,"1,991","3,278"
Colorado City town,"4,821",12.6,0,1,0,0,0,0,0,0,"4,803",7,1,3,0,25,2,0,28,"4,821"
Coolidge city,"11,825",31,18,20,47,3,5,4,18,13,"7,866","1,130",887,184,43,"4,191",65,10,"4,962","11,825"
Cottonwood city,"11,265",46.2,2,19,21,15,7,32,10,10,"9,687",135,343,139,24,"2,274",32,5,"2,573","11,085"
Dewey-Humboldt town,"3,894",49.3,1,1,2,1,2,0,1,2,"3,693",22,94,24,6,297,6,0,408,"3,879"
Douglas city,"17,378",32.2,12,13,32,6,14,1,3,10,"12,220",518,386,155,33,"13,363",62,7,"14,353","14,847"
Duncan town,696,42.5,0,0,0,0,0,0,0,1,588,10,21,1,1,212,2,0,235,696
Eagar town,"4,885",34.9,6,2,2,0,0,0,0,1,"4,420",63,241,26,7,711,11,1,916,"4,885"
El Mirage city,"31,797",28.1,65,49,226,15,25,47,90,88,"20,683","2,589",787,859,172,"13,305",364,45,"15,120","31,784"
Eloy city,"16,631",32.7,22,53,264,95,24,37,260,958,"7,250","1,808",698,811,981,"8,531",125,10,"9,648","9,332"
Flagstaff city,"65,870",26.6,199,400,129,137,114,76,172,115,"50,379","1,749","8,642","1,877",294,"10,194",222,61,"12,094","57,794"
Florence town,"25,536",36.2,65,27,64,5,6,20,39,19,"16,548","1,795","3,875",288,34,"6,998",190,26,"7,978","7,836"
Fountain Hills town,"22,489",53.9,63,93,89,42,32,38,54,22,"21,454",283,199,535,44,569,91,19,925,"22,307"
Fredonia town,"1,314",37.6,0,2,1,0,0,0,1,1,"1,193",7,115,6,1,41,0,0,48,"1,314"
Gila Bend town,"1,922",32.7,2,0,3,1,1,0,4,0,"1,143",37,172,11,0,"1,196",1,1,"1,257","1,922"
Gilbert town,"208,453",31.9,"2,502","2,404","2,445",416,"1,028","2,025","1,290",449,"177,075","9,138","2,998","14,950",987,"23,846","1,357",353,"31,074","208,149"
Glendale city,"226,721",32.5,"1,565","1,349","1,598",364,677,"2,139","1,163",430,"161,331","16,561","5,640","11,040",895,"69,929","1,346",765,"80,501","223,464"
Globe city,"7,532",41.9,22,14,29,2,13,1,4,9,"6,192",94,519,115,22,"2,520",30,1,"2,775","7,081"
Goodyear city,"65,275",34.9,330,454,936,114,208,510,278,110,"49,127","5,218","1,278","3,618",272,"15,412",491,102,"18,136","61,447"
Guadalupe town,"5,523",27.2,0,0,0,0,0,0,0,3,"1,209",112,"3,034",24,9,"3,187",19,4,"3,437","5,508"
Hayden town,662,40,1,0,1,0,0,0,0,0,433,1,3,9,0,515,4,0,559,662
Holbrook city,"5,053",33,25,6,27,3,2,0,3,2,"3,066",180,"1,517",90,12,"1,046",3,0,"1,281","4,643"
Huachuca City town,"1,853",35.3,1,3,6,10,12,0,6,15,"1,500",163,47,72,27,287,31,1,364,"1,851"
Jerome town,444,54.6,0,0,0,0,0,0,1,0,431,6,16,2,0,18,0,0,25,444
Kearny town,"1,950",41.8,0,2,3,2,0,0,1,1,"1,686",17,27,12,3,739,8,0,811,"1,950"
Kingman city,"28,068",41.7,101,35,166,28,23,27,89,85,"25,497",474,824,651,144,"2,677",114,45,"3,503","27,369"
Lake Havasu City city,"52,527",50.3,62,89,170,52,16,74,41,67,"48,467",551,961,806,154,"5,221",173,100,"6,356","52,326"
Litchfield Park city,"5,476",44.2,38,29,36,13,17,67,23,1,"4,666",246,71,307,14,724,22,8,846,"5,439"
Mammoth town,"1,426",37.2,0,0,1,0,0,0,0,0,"1,000",6,68,1,2,934,0,0,994,"1,426"
Marana town,"34,961",37.7,161,315,212,66,113,263,192,47,"29,786","1,216",744,"1,719",161,"6,478",251,39,"7,730","34,441"
Maricopa city,"43,482",31.2,167,173,691,65,89,341,274,119,"32,460","5,012","1,314","2,432",264,"8,539",502,139,"10,617","43,482"
Mesa city,"439,041",34.6,"1,104","1,384","2,156",548,643,"1,388","1,270","1,672","351,626","19,591","14,041","11,866","2,777","99,666","2,441",455,"115,753","435,503"
Miami town,"1,837",41.7,0,0,2,1,0,0,0,0,"1,400",14,71,3,0,931,6,0,"1,029","1,837"
Nogales city,"20,837",34,42,26,8,2,31,10,7,4,"15,388",103,188,167,19,"18,778",28,26,"19,793","20,575"
Oro Valley town,"41,011",49.8,256,312,168,112,200,111,125,54,"37,725",836,393,"1,667",131,"3,518",271,76,"4,731","40,943"
Page city,"7,247",32.5,21,13,6,12,3,1,11,2,"4,480",82,"2,743",102,13,339,17,2,526,"7,228"
Paradise Valley town,"12,820",51,215,148,28,16,37,14,60,6,"12,065",118,71,652,15,282,22,24,479,"12,789"
Parker town,"3,083",32.8,5,7,10,0,0,0,4,2,"1,497",74,765,47,5,"1,144",13,3,"1,293","2,848"
Patagonia town,913,48.8,0,0,0,0,0,0,0,0,811,5,27,0,0,348,1,2,387,912
Payson town,"15,301",53.1,18,20,20,13,6,8,16,18,"14,277",99,509,127,24,"1,276",22,6,"1,481","14,981"
Peoria city,"154,065",38.1,845,793,"1,112",208,579,819,615,221,"130,783","6,537","2,458","6,527",561,"23,791",963,172,"28,629","152,838"
Phoenix city,"1,445,632",32.2,"12,101","7,270","7,606","1,712","2,892","6,270","7,746","2,555","995,467","109,544","43,724","57,619","5,180","519,635","8,103","3,975","589,877","1,423,894"
Pima town,"2,387",30.4,0,0,0,1,2,0,0,3,"2,155",33,46,12,17,439,8,0,500,"2,387"
Pinetop-Lakeside town,"4,282",43.4,7,3,15,1,1,2,4,0,"3,906",39,190,45,2,531,3,0,618,"4,259"
Prescott city,"39,843",54.1,79,105,111,76,47,30,44,48,"37,550",417,818,741,122,"2,696",101,49,"3,442","37,835"
Prescott Valley town,"38,822",40.6,64,51,136,56,35,48,75,61,"35,167",556,808,670,158,"5,416",163,34,"6,484","38,613"
Quartzsite town,"3,677",67.1,2,1,3,0,0,3,1,0,"3,476",28,120,12,2,214,2,0,246,"3,595"
Queen Creek town,"26,361",29.8,63,86,218,31,80,132,122,39,"22,890","1,183",343,"1,022",123,"3,685",204,41,"4,566","26,345"
Safford city,"9,566",31.6,12,36,12,1,3,12,9,5,"8,107",207,254,125,13,"3,725",15,2,"4,166","9,322"
Sahuarita town,"25,259",34.4,96,87,133,32,43,39,69,31,"21,241","1,021",542,861,109,"6,979",265,49,"8,077","25,196"
San Luis city,"25,505",25.5,19,14,6,2,0,0,6,17,"16,788",111,157,83,22,"24,543",29,8,"25,171","24,981"
Scottsdale city,"217,385",45.4,"2,286","1,568",862,510,853,387,773,208,"198,503","4,882","2,793","9,366",482,"14,398",827,317,"19,225","216,226"
Sedona city,"10,031",56.1,27,36,18,44,35,8,18,14,"9,195",69,127,235,25,"1,229",26,9,"1,438","10,031"
Show Low city,"10,660",42.4,20,19,24,5,4,9,3,16,"9,601",94,589,117,31,"1,117",21,3,"1,360","10,589"
Sierra Vista city,"43,888",33.1,72,121,456,165,573,187,207,269,"34,827","4,842",999,"2,771",497,"6,193","1,004",99,"8,527","40,851"
Snowflake town,"5,590",30.4,1,1,6,2,0,1,1,12,"4,839",26,423,20,18,534,9,1,661,"5,544"
Somerton city,"14,287",25.5,2,5,29,4,0,3,12,8,"9,508",153,163,97,25,"13,311",37,8,"13,708","14,287"
South Tucson city,"5,652",32.1,18,6,7,7,0,3,3,6,"2,700",218,685,69,11,"3,981",20,11,"4,435","5,346"
Springerville town,"1,961",35.7,6,3,4,2,0,0,4,1,"1,712",13,143,24,1,351,7,0,482,"1,961"
St. Johns city,"3,480",35.6,6,1,1,0,0,0,1,1,"3,012",25,265,19,2,639,4,0,879,"3,375"
Star Valley town,"2,310",51.8,0,6,2,2,2,0,0,2,"2,166",10,63,17,10,182,3,3,229,"2,309"
Superior town,"2,837",45,1,4,4,8,0,0,1,0,"2,091",32,95,22,1,"1,784",2,1,"1,942","2,837"
Surprise city,"117,517",36.8,243,303,"1,308",150,240,380,396,233,"98,643","7,498","1,650","4,356",523,"17,481",978,173,"21,724","117,243"
Taylor town,"4,112",29.5,0,1,3,1,0,7,0,3,"3,636",26,233,24,23,497,1,2,546,"4,112"
Tempe city,"161,719",28.1,"2,705","2,631",813,415,822,710,"1,121",645,"122,818","11,719","6,238","11,209","1,008","28,204","1,040",324,"34,092","151,531"
Thatcher town,"4,865",26.6,8,2,16,4,2,0,3,11,"4,287",117,129,70,30,852,12,0,"1,052","4,622"
Tolleson city,"6,545",26.6,13,0,17,0,0,13,18,16,"3,504",492,194,87,38,"4,760",65,8,"5,241","6,545"
Tombstone city,"1,380",54.4,2,1,2,4,0,0,0,1,"1,313",9,41,14,3,275,2,7,288,"1,380"
Tucson city,"520,116",33,"1,808","3,619","2,435",921,"1,264","2,198","2,675","1,147","380,875","32,361","19,903","20,448","2,080","193,994","3,359",992,"216,308","499,410"
Tusayan town,558,31.5,0,11,10,2,2,0,11,2,293,12,61,40,3,215,3,0,227,530
Wellton town,"2,882",55.5,1,0,5,1,1,0,1,2,"2,363",43,48,16,3,"1,009",8,1,"1,038","2,879"
Wickenburg town,"6,363",52.7,4,4,6,15,1,5,0,2,"5,846",36,126,53,7,786,3,1,854,"6,174"
Willcox city,"3,757",33.4,8,1,14,0,1,0,1,7,"2,640",61,82,28,11,"1,596",18,1,"1,883","3,730"
Williams city,"3,023",39.2,2,0,15,3,2,0,8,3,"2,404",72,100,43,4,987,6,4,"1,075","3,022"
Winkelman town,353,46.5,0,0,0,2,0,0,0,0,224,3,14,3,0,250,1,0,291,353
Winslow city,"9,655",33.4,32,24,19,7,3,2,9,11,"5,528",653,"2,788",118,21,"2,686",9,1,"3,171","8,121"
Youngtown town,"6,156",36.7,14,18,41,7,6,73,14,6,"4,693",307,139,231,18,"1,700",51,6,"2,031","5,953"
Yuma city,"93,064",31.3,252,195,628,145,134,192,184,205,"67,624","3,854","2,463","2,592",443,"47,190",669,105,"51,033","87,936"